#Lambda	Bandwidth	AOI	Delta	Psi	Zone	Amin	Pmin	Afix	Pfix	ROIidx	X_pos	Y_pos	Theta_pos
#nm	nm	deg	deg	deg	-	deg	deg	deg	deg	-	mm	mm	deg
658.0	2.0	56.000	177.211	26.799	2	-26.804	-43.604	-26.972	-43.604	000	18.183	-18.183	0.000
658.0	2.0	56.000	176.324	26.805	1	-26.798	-46.837	-26.961	-46.837	000	18.183	-18.183	0.000
658.0	2.0	56.000	176.893	26.996	3	27.002	43.447	26.972	43.447	000	18.183	-18.183	0.000
658.0	2.0	60.000	176.328	23.251	4	23.245	46.795	30.000	46.795	000	18.183	-18.183	0.000
658.0	2.0	60.000	176.302	23.105	2	-23.111	-43.150	-23.258	-43.150	000	18.183	-18.183	0.000
658.0	2.0	60.000	175.308	23.106	1	-23.098	-47.345	-23.245	-47.345	000	18.183	-18.183	0.000
658.0	2.0	60.000	175.879	23.297	3	23.304	42.940	23.258	42.940	000	18.183	-18.183	0.000
658.0	2.0	64.000	175.077	18.760	4	18.753	47.385	30.000	47.385	000	18.183	-18.183	0.000
658.0	2.0	64.000	174.828	18.696	2	-18.704	-42.414	-18.767	-42.413	000	18.183	-18.183	0.000
658.0	2.0	64.000	173.754	18.693	1	-18.684	-48.122	-18.752	-48.122	000	18.183	-18.183	0.000
658.0	2.0	64.000	174.330	18.885	3	18.893	42.166	18.766	42.166	000	18.183	-18.183	0.000
658.0	2.0	68.000	172.692	13.044	4	13.036	48.512	30.000	48.512	000	18.183	-18.183	0.000
658.0	2.0	68.000	171.914	13.385	2	-13.393	-40.961	-13.051	-40.961	000	18.183	-18.183	0.000
658.0	2.0	68.000	170.785	13.382	1	-13.373	-49.611	-13.036	-49.611	000	18.183	-18.183	0.000
658.0	2.0	68.000	171.415	13.564	3	13.574	40.713	13.051	40.713	000	18.183	-18.183	0.000
658.0	2.0	52.000	177.542	30.098	4	30.092	46.230	30.000	46.230	000	30.310	-18.183	0.000
658.0	2.0	52.000	177.730	29.923	2	-29.928	-43.864	-30.103	-43.864	000	30.305	-18.183	0.000
658.0	2.0	52.000	176.923	29.934	1	-29.928	-46.538	-30.093	-46.538	000	30.305	-18.183	0.000
658.0	2.0	52.000	177.529	30.127	3	30.132	43.765	30.103	43.765	000	30.305	-18.183	0.000
658.0	2.0	56.000	176.972	26.965	4	26.959	46.497	30.000	46.497	000	30.305	-18.183	0.000
658.0	2.0	56.000	177.060	26.798	2	-26.804	-43.529	-26.971	-43.529	000	30.305	-18.183	0.000
658.0	2.0	56.000	176.187	26.800	1	-26.793	-46.905	-26.959	-46.905	000	30.305	-18.183	0.000
658.0	2.0	56.000	176.760	27.000	3	27.006	43.380	26.971	43.381	000	30.305	-18.183	0.000
658.0	2.0	60.000	176.142	23.252	4	23.246	46.888	30.000	46.888	000	30.305	-18.183	0.000
658.0	2.0	60.000	176.114	23.099	2	-23.106	-43.056	-23.259	-43.056	000	30.305	-18.183	0.000
658.0	2.0	60.000	175.125	23.106	1	-23.098	-47.437	-23.246	-47.437	000	30.305	-18.183	0.000
658.0	2.0	60.000	175.702	23.300	3	23.308	42.851	23.259	42.851	000	30.305	-18.183	0.000
658.0	2.0	64.000	174.833	18.762	4	18.755	47.508	30.000	47.508	000	30.305	-18.183	0.000
658.0	2.0	64.000	174.554	18.693	2	-18.700	-42.277	-18.770	-42.277	000	30.305	-18.183	0.000
658.0	2.0	64.000	173.521	18.693	1	-18.684	-48.239	-18.755	-48.239	000	30.305	-18.183	0.000
658.0	2.0	64.000	174.095	18.886	3	18.894	42.048	18.770	42.049	000	30.305	-18.183	0.000
658.0	2.0	68.000	172.312	13.079	4	13.071	48.703	30.000	48.703	000	30.305	-18.183	0.000
658.0	2.0	68.000	171.528	13.389	2	-13.399	-40.767	-13.087	-40.767	000	30.305	-18.183	0.000
658.0	2.0	68.000	170.437	13.382	1	-13.371	-49.785	-13.071	-49.785	000	30.305	-18.183	0.000
658.0	2.0	68.000	171.071	13.568	3	13.578	40.541	13.087	40.541	000	30.305	-18.183	0.000
658.0	2.0	52.000	177.553	30.095	4	30.090	46.224	30.000	46.224	000	-30.311	-6.061	0.000
658.0	2.0	52.000	177.747	29.925	2	-29.930	-43.873	-30.100	-43.873	000	-30.305	-6.061	0.000
658.0	2.0	52.000	176.929	29.927	1	-29.921	-46.534	-30.090	-46.535	000	-30.305	-6.061	0.000
658.0	2.0	52.000	177.552	30.122	3	30.127	43.776	30.101	43.776	000	-30.305	-6.061	0.000
658.0	2.0	56.000	176.983	26.964	4	26.958	46.491	30.000	46.491	000	-30.305	-6.061	0.000
658.0	2.0	56.000	177.062	26.796	2	-26.801	-43.530	-26.969	-43.530	000	-30.305	-6.061	0.000
658.0	2.0	56.000	176.201	26.804	1	-26.796	-46.899	-26.958	-46.899	000	-30.305	-6.061	0.000
658.0	2.0	56.000	176.779	26.990	3	26.996	43.389	26.970	43.389	000	-30.305	-6.061	0.000
658.0	2.0	60.000	176.150	23.248	4	23.241	46.884	30.000	46.884	000	-30.305	-6.061	0.000
658.0	2.0	60.000	176.129	23.102	2	-23.109	-43.064	-23.255	-43.064	000	-30.305	-6.061	0.000
658.0	2.0	60.000	175.154	23.107	1	-23.099	-47.422	-23.241	-47.422	000	-30.305	-6.061	0.000
658.0	2.0	60.000	175.722	23.296	3	23.304	42.861	23.255	42.861	000	-30.305	-6.061	0.000
658.0	2.0	64.000	174.856	18.775	4	18.768	47.496	30.000	47.497	000	-30.305	-6.061	0.000
658.0	2.0	64.000	174.583	18.692	2	-18.700	-42.291	-18.783	-42.291	000	-30.305	-6.061	0.000
658.0	2.0	64.000	173.547	18.695	1	-18.686	-48.226	-18.768	-48.226	000	-30.305	-6.061	0.000
658.0	2.0	64.000	174.115	18.883	3	18.892	42.059	18.783	42.059	000	-30.305	-6.061	0.000
658.0	2.0	68.000	172.349	13.048	4	13.040	48.684	30.000	48.683	000	-30.305	-6.061	0.000
